Name,Description,Age,Rating_out_of_5,No_of_Ratings,Price,Link
The Dangerous Book for Boys,"
The bestselling book—more than 1.5 million copies sold—for every boy from eight to eighty, covering essential boyhood skills such as building tree houses, learning how to fish, finding true north, and even answering the age old question of what the big deal with girls is—now a Prime Original Series created by Bryan Cranston (Breaking Bad) and Greg Mottola (Superbad).In this digital age, there is still a place for knots, skimming stones and stories of incredible courage. This book recaptures Sunday afternoons, stimulates curiosity, and makes for great father-son activities. The brothers Conn and Hal have put together a wonderful collection of all things that make being young or young at heart fun—building go-carts and electromagnets, identifying insects and spiders, and flying the world's best paper airplanes.Skills covered include: The Greatest Paper Airplane in the WorldThe Seven Wonders of the Ancient WorldThe Five Knots Every Boy Should KnowStickballSlingshotsFossilsBuilding a Treehouse*Making a Bow and ArrowFishing (revised with US Fish)Timers and TripwiresBaseball's ""Most Valuable Players""Famous Battles-Including Lexington and Concord, The Alamo, and Gettysburg Spies-Codes and CiphersMaking a Go-CartNavajo Code Talkers' DictionaryGirlsCloud FormationsThe States of the U.S. Mountains of the U.S.NavigationThe Declaration of Independence Skimming StonesMaking a PeriscopeThe Ten CommandmentsCommon US TreesTimeline of American History

",Ages: 8 - 12 years,4.7,4.847,$16.99,https://www.amazon.com/Dangerous-Book-Boys-Conn-Iggulden/dp/0062208977/ref=sr_1_654?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-654
Fablehaven Complete Set (Boxed Set): Fablehaven; Rise of the Evening Star; Grip of the Shadow Plague; Secrets of the Dragon Sanctuary; Keys to the Demon Prison,"
Brandon Mull’s New York Times bestselling series about siblings Seth and Kendra who discover their grandparents are the caretakers of a sanctuary for magical creatures!This paperback boxed set includes: Fablehaven  Rise of the Evening Star  Grip of the Shadow Plague  Secrets of the Dragon Sanctuary  Keys to the Demon Prison

",Ages: 8 years and up,4.8,2.565,$25.28,https://www.amazon.com/Fablehaven-Complete-Set-Boxed-Sanctuary/dp/1442429771/ref=sr_1_655?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-655
8 Little Planets: A Solar System Book for Kids with Unique Planet Cutouts,"
An Amazon Best Book of 2018!A delightfully fun, fact-filled planetary tale from the creator of the Baby University series! Travel around the solar system and celebrate what makes each planet unique! From Neptune to Mercury and all the planets in between, each one is different and each one is happy to be what they are.Old slow Neptune looks a bit behind. Orbiting the Sun takes an awful long time. But the 8th little planet doesn't need to worry. It spins on its axis in a really big hurry!Vibrant, joyful art, playful verse, and a fun die-cut shape are sure to have astronomers of all ages celebrating their own uniqueness while they party with the planets. 

",,4.8,2.384,$7.19,https://www.amazon.com/8-Little-Planets-Chris-Ferrie/dp/149267124X/ref=sr_1_656?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-656
"National Geographic Kids Almanac 2021, U.S. Edition (National Geographic Almanacs)","
The latest installment of the New York Times best-selling almanac features brand-new amazing animal stories, explorer profiles, and outrageous attractions that kids know and love, plus more of the incredible inventions, awesome games, and fresh challenges for curious kids who want to learn all about the world and everything that's in it! Kids can have fun keeping up with our rapidly changing planet with the world's best-selling almanac for kids, packed with incredible photos, tons of fun facts, crafts, activities, and fascinating features about animals, science, nature, technology, conservation, and more. There's a whole chapter full of fun and games, including activities, jokes, and comics. Practical reference material, including fast facts and maps of every country, has been fully updated. Homework help on key topics is sprinkled throughout the book.

",Ages: 8 - 12 years,4.9,1.215,$11.94,https://www.amazon.com/National-Geographic-Kids-Almanac-Almanacs/dp/1426336713/ref=sr_1_657?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-657
The Miraculous Journey of Edward Tulane,"
A classic tale by Newbery Medalist Kate DiCamillo, America’s beloved storyteller.Once, in a house on Egypt Street, there lived a china rabbit named Edward Tulane. The rabbit was very pleased with himself, and for good reason: he was owned by a girl named Abilene, who adored him completely. And then, one day, he was lost. . . . Kate DiCamillo takes us on an extraordinary journey, from the depths of the ocean to the net of a fisherman, from the bedside of an ailing child to the bustling streets of Memphis. Along the way, we are shown a miracle — that even a heart of the most breakable kind can learn to love, to lose, and to love again.Featuring black-and-white illustrations and a refreshed cover by Bagram Ibatoulline.

",Ages: 7 - 10 years,4.8,4.331,$0.00,https://www.amazon.com/Miraculous-Journey-Edward-Tulane/dp/0763680907/ref=sr_1_658?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-658
A Twisted Tale Collection: A Boxed Set,"
A paperback boxed set that collects the first three books in the wildly popular A Twisted Tale series for the first time!A Whole New WorldOnce Upon a DreamAs Old as TimeDiscover your favorite worlds and stories, with game-changing twists that will have you feverishly turning pages to follow your heroes and heroines into all-new adventures.

",Ages: 12 years and up,4.8,1.969,$21.49,https://www.amazon.com/Twisted-Tale-Collection-Boxed-Set/dp/1368022103/ref=sr_1_659?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-659
Jumbo Book of Amazing Mazes (Highlights™ Jumbo Books & Pads),"
This jumbo book is packed with more than 175 colorful mazes of various puzzle types and features the fun and humorous Highlights! illustrations that kids know and love. Each maze is carefully designed to engage and entertain children while honing their concentration skills and attention to detail. In addition to irresistible traditional mazes, kids will enjoy untangling string mazes, solving code-word mazes, quiz mazes, number-logic mazes, riddle mazes, and more!

",Ages: 6 - 9 years,4.8,864,$11.69,https://www.amazon.com/Jumbo-Amazing-Mazes-HighlightsTM-Books/dp/1629798843/ref=sr_1_660?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-660
Listening to My Body: A guide to helping kids understand the connection between their sensations (what the heck are those?) and feelings so that they can get better at figuring out what they need.,"
Big emotions can be overwhelming! Help your child build on their capacity to engage more mindfully, self-regulate, and develop emotional resilience.Listening to my Body is an engaging and interactive book that guides children through the practice of naming their feelings and the physical sensations that accompany them.From wiggly and squirmy to rested and still, Listening to My Body helps children develop a sensations vocabulary so that they can express what they are experiencing.Includes kid-friendly mindfulness activities woven throughout the book to reinforce the teachings.Listening to My Body is a wonderful social-emotional tool for parents, counselors and teachers! FREE resources to accompany this book can be found at http://bit.ly/gabigarciabooks.(Available in Spanish as Escuchando a Mi Cuerpo.)

",Ages: 8 - 12 years,4.7,2.285,$12.67,https://www.amazon.com/Listening-Body-understand-connection-sensations/dp/099895800X/ref=sr_1_661?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-661
Mother Goose Treasury: A Beautiful Collection of Favorite Nursery Rhymes (Hardcover Storybook Treasury),"
Cuddle up on the sofa with this beautiful book, open the pages and take a look. There are lovely pictures and familiar rhymes, to share with your child before sleepy time. Join Mother Goose, kings, and twinkling stars, let your dreams and imagination take you far. This is the perfect book for reading aloud and sharing, and will be treasured by children throughout their childhood. • For centuries Mother Goose has been gathering a collection of magical, well-loved tales. Journey to remarkable places and far away lands, and see the worlds come to life!• Parents and grandparents can relive their special childhood moments with their children and grandchildren by reading and sharing these classic nursery rhymes during storytime• Enjoy classics such as Do You Know the Muffin Man, This is the Way, It's Raining It's Pouring, Pop Goes the Weasel, and Row Row Row Your Boat• Great gift to bring cherished memories to any child's library collection• Collect all titles available in the Parragon Treasury Collection including Fairy Tales and Five Minute Stories  

",Ages: 4 - 7 years,4.8,2.154,$11.57,https://www.amazon.com/Mother-Goose-Treasury-Beautiful-Collection/dp/1680524615/ref=sr_1_662?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-662
How to Train Your Dragon: The Complete Series: Paperback Gift Set,"
Read the books that inspired the hit movie sensation with this new and complete paperback gift set of the New York Times bestselling How to Train Your Dragon series!  How to Train Your Dragon chronicles the adventures and misadventures of reluctant Viking hero Hiccup and his dragon, Toothless. Join them on all twelve of their exciting stories.  This beautiful box set showcases the series' stunning new look and makes the perfect gift for any How to Train Your Dragon fan!

",Ages: 8 - 12 years,4.9,1.238,$48.99,https://www.amazon.com/How-Train-Your-Dragon-Paperback/dp/0316347000/ref=sr_1_663?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-663
On the Edge of the Dark Sea of Darkness (The Wingfeather Saga),"
PUBLISHERS WEEKLY AND ECPA BESTSELLER • Now in hardcover for the first time, featuring all-new illustrations! Once, in a cottage above the cliffs on the Dark Sea of Darkness, there lived three children and their trusty dog, Nugget.Janner Igiby, his brother, Tink, and their disabled sister, Leeli, are gifted children as all children are, loved well by a noble mother and ex-pirate grandfather. But they will need all their gifts and all that they love to survive the evil pursuit of the venomous Fangs of Dang, who have crossed the dark sea to rule the land with malice. The Igibys hold the secret to the lost legend and jewels of good King Wingfeather of the Shining Isle of Anniera.Full of characters rich in heart, smarts, and courage, On the Edge of the Dark Sea of Darkness is a tale children of all ages will cherish, families can read aloud, and readers' groups are sure to enjoy discussing for its many layers of meaning. Extra features include new interior illustrations from Joe Sutphin, funny footnotes, a map of the fantastical world, inventive appendices, and fanciful line art in the tradition of the original Frank L. Baum Wizard of Oz storybooks.

",Ages: 8 - 12 years,4.8,2.175,$0.00,https://www.amazon.com/Edge-Dark-Darkness-Wingfeather-Saga/dp/0525653562/ref=sr_1_664?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-664
Grandma Wishes: Children's Board Book (Love You Always),"
Did you know there’s a special wishing star that only grandmas see? Every time a new grandchild is expected, their grandma has special hopes and dreams for her new little love. A perfect gift for a grandma shower, or a wonderful keepsake for a grandma to give her grandchild. A grandmother’s wishes are revealed through animal characters that are used in place of people, to be any race, gender, or age. Collect all the books in the Love You Always series from Cottage Door Press. • 10 board pages are just right for even the littlest “readers” • Grandma wishes for a kind, silly, thoughtful, brave, and mindful child• The message of unconditional love is revealed in colorful, engaging illustrations • Soft rhyming text is easy to read aloud • A keepsake for generations• Collect all the books in the Love You Always series from Cottage Door Press

",Ages: 0 - 5 years,4.9,2.69,$9.39,https://www.amazon.com/Grandma-Wishes-Childrens-Board-Always/dp/1680520083/ref=sr_1_665?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-665
The Land of Stories Complete Paperback Gift Set,"
Dive into the complete #1 New York Times bestselling series The Land of Stories with this beautiful paperback gift set. Through the mysterious powers of a cherished book of stories, twins Alex and Conner leave their world behind and find themselves in a foreign land full of wonder and magic where they come face-to-face with the fairy-tale characters they grew up reading about.  #1 New York Times bestselling author Chris Colfer invites readers to join Alex and Conner from the beginning on their fairy-tale adventures in this gorgeous paperback boxed set, which includes all six books in the Land of Stories series: The Wishing Spell, The Enchantress Returns, A Grimm Warning, Beyond the Kingdoms, An Author's Odyssey, and Worlds Collide.

",Ages: 8 - 12 years,4.9,1.918,$44.93,https://www.amazon.com/Land-Stories-Complete-Paperback-Gift/dp/0316480843/ref=sr_1_666?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-666
"Ninja Life Hacks Leadership 8 Book Box Set (Books 17-24: Focused, Calm, Brave, Compassionate, Masked, Inclusive, Grateful, Hangry)","
The Ninja Life Hacks Leadership Box Set includes books 17-24:Anxious NinjaFocused NinjaCalm NinjaBrave NinjaCompassionate NinjaMasked NinjaInclusive NinjaHangry NinjaGrateful NinjaLife is hard! And it's even harder for children who are just trying to figure things out.The new children's book series, Ninja Life Hacks, was developed to help children learn valuable life skills. Fun, pint-size characters in comedic books easy enough for young readers, yet witty enough for adults.The Ninja Life Hacks book series is geared to kids 3-11+.  Perfect for boys, girls, early readers, primary school students, or toddlers.  Excellent resource for educators, parents, and teachers alike.Collect all the Ninja Life Hacks Book Sets.Ninja Life Hacks Emotions and Feelings Box Set Ninja Life Hacks Growth Mindset Book SetNinja Life Hacks Leadership Book SetNinja Life Hacks Mover and Shaker Book SetMakes a perfect gift! (No books in our sets overlap.)

",,4.7,80,$41.38,https://www.amazon.com/Ninja-Hacks-Leadership-Books-17-24/dp/1951056795/ref=sr_1_667?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-667
Tuck Everlasting,"
The classic novel about a young girl who stumbles upon a family's stunning secretWhat if you could live forever?Is eternal life a blessing or a curse? That is what young Winnie Foster must decide when she discovers a spring on her family’s property whose waters grant immortality. Members of the Tuck family, having drunk from the spring, tell Winnie of their experiences watching life go by and never growing older.But then Winnie must decide whether or not to keep the Tucks’ secret―and whether or not to join them on their never-ending journey.Praise for Tuck Everlasting by Natalie Babbitt:“A fearsome and beautifully written book that can't be put down or forgotten.” ―The New York Times“Exciting and excellently written.” ―The New York Times Book Review“With its serious intentions and light touch the story is, like the Tucks, timeless.” ―Chicago Sun-Times“Probably the best work of our best children's novelist.” ―Harper's“Natalie Babbitt's great skill is spinning fantasy with the lilt and sense of timeless wisdom of the old fairy tales. . . . It lingers on, haunting your waking hours, making you ponder.” ―The Boston Globe“This book is as shapely, crisp, sweet, and tangy as a summer-ripe pear.” ―Entertainment Weekly

",Ages: 10 years and up,4.8,3.438,$5.49,https://www.amazon.com/Tuck-Everlasting-Natalie-Babbit/dp/0312369816/ref=sr_1_668?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-668
Aristotle and Dante Discover the Secrets of the Universe,"
This Printz Honor Book is a “tender, honest exploration of identity” (Publishers Weekly) that distills lyrical truths about family and friendship.Aristotle is an angry teen with a brother in prison. Dante is a know-it-all who has an unusual way of looking at the world. When the two meet at the swimming pool, they seem to have nothing in common. But as the loners start spending time together, they discover that they share a special friendship—the kind that changes lives and lasts a lifetime. And it is through this friendship that Ari and Dante will learn the most important truths about themselves and the kind of people they want to be.

",Ages: 12 years and up,4.7,3.736,$0.00,https://www.amazon.com/Aristotle-Dante-Discover-Secrets-Universe/dp/1442408936/ref=sr_1_669?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-669
"Spectrum 5th Grade Math Workbook—Multiplication and Division, Decimals, Fractions, Early Algebra Practice With Examples, Tests, Answer Key for Homeschool or Classroom (160 pgs)","
WORKBOOK FEATURES: • Ages 10–11, Grade 5 • 160 pages, 8 inches x 11 inches • Covers fractions, decimals, graphing, algebra prep, and more • Pre-tests, post-tests, mid-test, and final test • Answer key included FOCUSED PRACTICE: The Spectrum Math Workbook for Fifth Grade provides focused practice in math mastery for children ages 10 and 11. This 160-page, ten-chapter workbook keeps kids at the top of their math game using progressive practice, math in everyday settings, and tests to monitor progress. CORRELATED TO CURRENT STATE STANDARDS: This engaging workbook covers fractions and decimals, perimeter, area and volume, classifying geometric figures, preparing for algebra, and graphing on the coordinate plane. WHAT’S INSIDE: Includes lessons and exercises that help students to understand difficult subject matter, along with pretests, post-tests, mid-tests, and final tests. An answer key is provided to measure the student's success. WORKING TOGETHER: A teacher and parent-loved series, Spectrum Math Workbooks help children stay ahead in math by supplying systematic and thought-provoking practice designed to increase in complexity. WHY SPECTRUM: For more than 20 years, Spectrum has provided solutions for parents who want to help their children get ahead, and for teachers who want their students to meet and exceed set learning goals; the workbooks are also an excellent resource for homeschooling. Spectrum partners with you in supporting your child’s educational journey every step of the way.

",Ages: 10 - 11 years,4.6,2.657,$10.99,https://www.amazon.com/Spectrum-Math-Workbook-Grade-5/dp/1483808734/ref=sr_1_670?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-670
"Marvel Super Heroes Spider-man, Avengers, Guardians, and More! - Me Reader Electronic Reader with 8 Book Library – Great Alternative to Toys for Christmas - PI Kids","
Features characters from Marvel's Avengers: Endgame and Spider-man: Far From Home. Join the world's mightiest heroes on their super powered adventures. Eight illustrated books come packaged with a sleek Me Reader Module that reads each book aloud. Choose a book, press the matching book and page buttons on the module, and hear the whole story, along with fun and surprising sounds! Follow along in the book for a fun, independent reading experience that builds confidence in beginning readers. Story sounds and expressive narration enhance reading comprehension. This Electronic Reader Library is special because: Hands on interaction engages young readers Connecting words with pictures builds vocabulary Multisensory reading experiences stimulate the imaginations of young readers Includes wonderful and popular superheroes: The Avengers like Spider-man, Thor, Captain America, Iron-man, the Hulk, Black Widow, Falcon, and Hawkeye; and the Guardians of the Galaxy like Star-Lord, Groot, Rocket, and Gamora! Also includes notorious villains like Thanos, Ultron, Mysterio, Loki, Doc Ock (Doctor Octopus), Frost Giants, Klaw, and more!

",,4.7,1.642,$26.00,https://www.amazon.com/Marvel-Avengers-Spider-man-Guardians-Electronic/dp/1503748057/ref=sr_1_671?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-671
Last Stop on Market Street,"
#1 New York Times Bestseller A USA Today Bestseller Winner of the Newbery Medal A Caldecott Honor Book  A Coretta Scott King Illustrator Honor Book   This award-winning modern classic—a must-have for every child’s home library—is an inclusive ode to kindness, empathy, gratitude, and finding joy in unexpected places, and celebrates the special bond between a curious young Black boy and his loving grandmother.  Every Sunday after church, CJ and his grandma ride the bus across town. But today, CJ wonders why they don’t own a car like his friend Colby. Why doesn’t he have an iPod like the boys on the bus? How come they always have to get off in the dirty part of town? Each question is met with an encouraging answer from grandma, who helps him see the beauty—and fun—in their routine and the world around them. This energetic ride through a bustling city highlights the wonderful perspective only grandparent and grandchild can share, and comes to life through Matt de la Peña’s vibrant text and Christian Robinson’s radiant illustrations.

",Ages: 3 - 5 years,4.9,2.341,$10.99,https://www.amazon.com/Last-Stop-Market-Street-Matt/dp/0399257748/ref=sr_1_672?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-672
"Catching Fire: The Hunger Games, Book 2","
Sparks are igniting. Flames are spreading. And the Capitol wants revenge.  Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.  Much to her shock, Katniss has fueled an unrest she’s afraid she cannot stop. And what scares her even more is that she’s not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol’s cruel Victory Tour, the stakes are higher than ever. If they can’t prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.

",Ages: 12 years and up,4.7,25.322,$0.00,https://www.amazon.com/Catching-Fire-Suzanne-Collins-audiobook/dp/B07T6BQV2L/ref=sr_1_673?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-673
The Good Egg,"
A #1 New York Times bestseller!An Amazon Best Books of the Year 2019 selection!From the bestselling creators of The Bad Seed, a timely story about not having to be Grade A perfect!Meet the good egg. He’s a verrrrrry good egg indeed.But trying to be so good is hard when everyone else is plain ol’ rotten.As the other eggs in the dozen behave badly, the good egg starts to crack from all the pressure of feeling like he has to be perfect.So, he decides enough is enough! It’s time for him to make a change…Dynamic duo Jory John and Pete Oswald hatch a funny and charming story that reminds us of the importance of balance, self-care, and accepting those we love (even if they are sometimes a bit rotten).Perfect for reading aloud and shared story time!

",Ages: 4 - 8 years,4.8,3.222,$12.99,https://www.amazon.com/Good-Egg-Jory-John/dp/0062866001/ref=sr_1_674?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-674
"Who Was Martin Luther King, Jr.?: A Who Was? Board Book (Who Was? Board Books)","
Introducing the latest addition to the Who HQ program: board book biographies of relevant and important figures, created specifically for the preschool audience!The #1 New York Times Bestselling Who Was? series expands into the board book space, bringing age-appropriate biographies of influential figures to readers ages 2-4. The chronology and themes of Dr. Martin Luther King Jr.'s meaningful life are presented in a masterfully succinct text, with just a few sentences per page. The fresh, stylized illustrations are sure to captivate young readers and adults alike. With a read-aloud biographical summary in the back, this age-appropriate introduction honors and shares the life and work of one of the most influential civil rights activists of our time.

",Ages: 2 - 4 years,5,14,$7.99,https://www.amazon.com/Who-Was-Martin-Luther-King/dp/0593222733/ref=sr_1_675?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-675
Timelines of Everything (Dk Smithsonian),"
Explore 13 billion years of history in the comfort of your own home! Journey through time and discover how some of the world’s greatest events unfolded.From the Big Bang all the way through to the digital age, this incredible visual encyclopedia for children shows you just about everything that has ever happened in history.Witness history come alive as you travel through more than 130 stunning timelines. Packed with fantastic photographs and illustrations, along with informative text and fun facts. The history book covers the rise and fall of empires to ground-breaking scientific breakthroughs and inventions that changed our lives. This educational book is an imaginative way of illustrating world history for children age 8 and over. Throughout the pages, your child will get to meet the most bloodthirsty pirates of all time and discover what happened during the storming of the Bastille. It’s a fantastic book for young readers with a natural curiosity about history around the world.Find your place in the world and understand where you fit in. Whether you want to discover the history of cinema, fashion, aviation, or espionage. There is something for everyone in this glorious guide through global history!The History of Everything… Ever!This fascinating reference book tells the story of a diverse range of subjects throughout history in an easily digested graphic format! After your kids dive into this book, you'll never hear them use the words ""history"" and ""boring"" in the same sentence again.Take a trip back in time! This history book covers the following eras:   • Prehistory: Before 3000 BCE    • The Ancient World: 3000 BCE – 500 CE    • The Medieval World: 500 – 1450    • The Age of Exploration: 1450 – 1750    • The Age of Revolution: 1750 – 1914    • The Modern World: After 1914

",Ages: 8 - 12 years,4.8,1.49,$20.63,https://www.amazon.com/Timelines-Everything-DK/dp/1465474935/ref=sr_1_676?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-676
